,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30
73,"Lokantalar, kafeler ve benzerleri ",1.910997647712187,-0.45574135694494977,3.0133050951661744,2.330804738162473,2.375264437094904,1.2950571967058844,3.6432647290735254,2.697170950157335,1.9020998260920408,1.4856992936487678,1.5192496435826097,4.8554033951118125,2.9506259984348304,1.6879648469878106,2.4414431085551636
74,Konaklama hizmetleri ,26.961116466686597,21.122072948792002,14.402989633435004,23.884179319904764,12.88078013650129,10.006323317278532,5.425368365200622,-5.401288802692106,-5.76278275605564,-6.482317470858567,-3.048487791787724,6.3903509539693815,-0.335189497838817,2.104119167906271,7.477453995286387
75,Sağlık sigortası ,,,,,,,,,,,,,3.704491493775941,1.575283930428939,4.860731840524313
76,Konut sigortası ,,,,,,,,,,,,,7.638888888888906,23.870967741935512,12.5
77,Taşımacılık sigortası ,,,,,,,,,,,,,10.32608695652173,4.92610837438423,2.6197183098591648
78,Diğer finansal hizmetler ,-0.008223554685837797,-0.02467269302989239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03290504260011762,30.899999999999995,0.0,0.0
79,"Kişisel bakıma yönelik diğer aletler, malzemeler ve ürünler ",5.813836104126335,3.1029055060901367,0.7906105880627123,0.20499286181991927,0.5431082537662002,0.8131710853090279,1.2329132526867514,0.6469523704536684,0.9876483069900521,-0.21836442110508836,2.215273830686937,2.350457895816449,1.0585498181470365,2.021832931705858,1.6786100653025215
80,Kuaför salonları ve kişisel bakım merkezleri ,1.8105871086776526,11.77510519299474,4.375606042255886,2.306694561795619,5.188045452531753,0.6803380405280279,2.174773779550332,8.849085197699914,1.7792600633762312,0.06192545614085443,0.042994158795051085,13.253973693739551,9.500789131835429,3.67779868274527,0.46576607781638746
81,Mücevherat ve kol saatleri ,7.544532040460683,5.37577144087773,10.643287310429027,5.259767606702126,1.9398957194062039,1.710017279091236,1.8288373266604374,6.158871945105093,14.090861599038318,1.3896421954985083,1.7696531439054919,6.228521288034683,10.692485332694378,0.21948325405705127,-3.3280856967312977
82,Başka yerde sınıflandırılmamış diğer kişisel eşyalar ,6.194605305581491,4.943151516455346,1.3966262277740782,0.6134242097384002,0.3573768651642828,1.3012819783954743,1.1409664277421072,1.1814236195407002,3.7953994902154564,-1.1728068498657485,2.6216245983806674,2.067376908135099,0.24588457322911594,1.3609703709326126,1.5217373773437348
83,Diğer hizmetler ,,,,,,,,,,,,,0.0,0.0,-2.220446049250313e-14
